2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@9a9aa68
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration calendar -> org.hibernate.type.BasicTypeReference@3a3883c4
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@3a3883c4
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@3a3883c4
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@1537e43
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@573aeab2
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration instant -> org.hibernate.type.BasicTypeReference@1304e0d7
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@1304e0d7
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration uuid -> org.hibernate.type.BasicTypeReference@6ddc67d0
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@6ddc67d0
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@6ddc67d0
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@7767bd4e
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@7708b66a
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration class -> org.hibernate.type.BasicTypeReference@433ef204
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@433ef204
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration currency -> org.hibernate.type.BasicTypeReference@4dd2ef54
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration Currency -> org.hibernate.type.BasicTypeReference@4dd2ef54
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@4dd2ef54
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration locale -> org.hibernate.type.BasicTypeReference@795b66d
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@795b66d
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration serializable -> org.hibernate.type.BasicTypeReference@359ceb13
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@359ceb13
2023-09-25 01:07:53.959 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration timezone -> org.hibernate.type.BasicTypeReference@1068176
2023-09-25 01:07:53.960 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@1068176
2023-09-25 01:07:53.960 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@5bf4764d
2023-09-25 01:07:53.960 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@5bf4764d
2023-09-25 01:07:53.960 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration url -> org.hibernate.type.BasicTypeReference@71789580
2023-09-25 01:07:53.960 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@71789580
2023-09-25 01:07:53.960 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration row_version -> org.hibernate.type.BasicTypeReference@23ee2ccf
2023-09-25 01:07:53.964 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration object -> org.hibernate.type.JavaObjectType@5fe46d52
2023-09-25 01:07:53.964 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@5fe46d52
2023-09-25 01:07:53.965 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration null -> org.hibernate.type.NullType@1ec88aa1
2023-09-25 01:07:53.965 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@3e6748ae
2023-09-25 01:07:53.965 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@28f154cc
2023-09-25 01:07:53.966 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@6af78a48
2023-09-25 01:07:53.966 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@6ed18d80
2023-09-25 01:07:53.966 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@4c24f3a2
2023-09-25 01:07:53.966 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@783b3aa0
2023-09-25 01:07:53.966 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@2ec85a25
2023-09-25 01:07:53.966 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@4c176ff1
2023-09-25 01:07:53.984 INFO  24752 --- [main] o.h.b.i.BytecodeProviderInitiator : HHH000021: Bytecode provider name : bytebuddy
2023-09-25 01:07:54.123 INFO  24752 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-09-25 01:07:54.140 INFO  24752 --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2023-09-25 01:07:54.258 INFO  24752 --- [main] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@b5de9ac
2023-09-25 01:07:54.259 INFO  24752 --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2023-09-25 01:07:54.303 WARN  24752 --- [main] org.hibernate.orm.deprecation : HHH90000026: PostgreSQL10Dialect has been deprecated; use org.hibernate.dialect.PostgreSQLDialect instead
